"individualAdultID","lightWavelength","behaviorType","day","Value"
"4","365nm","Time_In_Transition_Zone",2,145.65
"4","365nm","Time_In_Transition_Zone",3,151.23
"4","365nm","Time_In_Transition_Zone",4,152.23
"4","365nm","Time_In_Transition_Zone",5,25.56
"4","365nm","Time_In_Transition_Zone",6,45.12
"4","365nm","Time_In_Transition_Zone",7,36.11
"4","365nm","Time_In_Transition_Zone",8,28.16
"4","365nm","Time_In_Transition_Zone",9,42.33
"4","365nm","Time_In_Transition_Zone",10,26.59
"5","365nm","Time_In_Transition_Zone",1,149.8
"5","365nm","Time_In_Transition_Zone",2,156.23
"5","365nm","Time_In_Transition_Zone",3,154.98
"5","365nm","Time_In_Transition_Zone",4,142.12
"5","365nm","Time_In_Transition_Zone",5,25.23
"5","365nm","Time_In_Transition_Zone",6,46.13
"5","365nm","Time_In_Transition_Zone",7,50.11
"5","365nm","Time_In_Transition_Zone",8,29.55
"5","365nm","Time_In_Transition_Zone",9,32.59
"5","365nm","Time_In_Transition_Zone",10,25.43
"6","365nm","Time_In_Transition_Zone",1,156.79
"6","365nm","Time_In_Transition_Zone",2,148.65
"6","365nm","Time_In_Transition_Zone",3,156.12
"6","365nm","Time_In_Transition_Zone",4,154.12
"6","365nm","Time_In_Transition_Zone",5,48.12
"6","365nm","Time_In_Transition_Zone",6,47.88
"6","365nm","Time_In_Transition_Zone",7,46.13
"6","365nm","Time_In_Transition_Zone",8,26.47
"6","365nm","Time_In_Transition_Zone",9,33.66
"6","365nm","Time_In_Transition_Zone",10,27.48
"7","365nm","Time_In_Transition_Zone",1,154.23
"7","365nm","Time_In_Transition_Zone",2,132.23
"7","365nm","Time_In_Transition_Zone",3,148.56
"7","365nm","Time_In_Transition_Zone",4,156.28
"7","365nm","Time_In_Transition_Zone",5,67.45
"7","365nm","Time_In_Transition_Zone",6,49.33
"7","365nm","Time_In_Transition_Zone",7,48.33
"7","365nm","Time_In_Transition_Zone",8,30.56
"7","365nm","Time_In_Transition_Zone",9,33.25
"7","365nm","Time_In_Transition_Zone",10,27.56
"8","365nm","Time_In_Transition_Zone",1,151.24
"8","365nm","Time_In_Transition_Zone",2,166.15
"8","365nm","Time_In_Transition_Zone",3,165.89
"8","365nm","Time_In_Transition_Zone",4,124.56
"8","365nm","Time_In_Transition_Zone",5,58.59
"8","365nm","Time_In_Transition_Zone",6,50.13
"8","365nm","Time_In_Transition_Zone",7,46.12
"8","365nm","Time_In_Transition_Zone",8,31.48
"8","365nm","Time_In_Transition_Zone",9,45.32
"8","365nm","Time_In_Transition_Zone",10,21.54
"9","365nm","Time_In_Transition_Zone",1,155.79
"9","365nm","Time_In_Transition_Zone",2,155.47
"9","365nm","Time_In_Transition_Zone",3,167.13
"9","365nm","Time_In_Transition_Zone",4,154.24
"9","365nm","Time_In_Transition_Zone",5,62.13
"9","365nm","Time_In_Transition_Zone",6,52.12
"9","365nm","Time_In_Transition_Zone",7,45.46
"9","365nm","Time_In_Transition_Zone",8,36.59
"9","365nm","Time_In_Transition_Zone",9,36.88
"9","365nm","Time_In_Transition_Zone",10,23.56
"10","365nm","Time_In_Transition_Zone",1,153.23
"10","365nm","Time_In_Transition_Zone",2,165.45
"10","365nm","Time_In_Transition_Zone",3,165.78
"10","365nm","Time_In_Transition_Zone",4,156.71
"10","365nm","Time_In_Transition_Zone",5,54.18
"10","365nm","Time_In_Transition_Zone",6,56.13
"10","365nm","Time_In_Transition_Zone",7,47.12
"10","365nm","Time_In_Transition_Zone",8,38.67
"10","365nm","Time_In_Transition_Zone",9,39.44
"10","365nm","Time_In_Transition_Zone",10,25.68
"11","365nm","Time_In_Transition_Zone",1,149.77
"11","365nm","Time_In_Transition_Zone",2,157.59
"11","365nm","Time_In_Transition_Zone",3,154.23
"11","365nm","Time_In_Transition_Zone",4,154.23
"11","365nm","Time_In_Transition_Zone",5,56.24
"11","365nm","Time_In_Transition_Zone",6,54.32
"11","365nm","Time_In_Transition_Zone",7,48.13
"11","365nm","Time_In_Transition_Zone",8,39.55
"11","365nm","Time_In_Transition_Zone",9,39.56
"11","365nm","Time_In_Transition_Zone",10,29.45
"12","365nm","Time_In_Transition_Zone",1,143.26
"12","365nm","Time_In_Transition_Zone",2,145.98
"12","365nm","Time_In_Transition_Zone",3,168.52
"12","365nm","Time_In_Transition_Zone",4,152.24
"12","365nm","Time_In_Transition_Zone",5,55.72
"12","365nm","Time_In_Transition_Zone",6,55.18
"12","365nm","Time_In_Transition_Zone",7,45.32
"12","365nm","Time_In_Transition_Zone",8,35.47
"12","365nm","Time_In_Transition_Zone",9,23.55
"12","365nm","Time_In_Transition_Zone",10,31.65
"13","365nm","Time_In_Transition_Zone",1,143.2
"13","365nm","Time_In_Transition_Zone",2,128.96
"13","365nm","Time_In_Transition_Zone",3,195.92
"13","365nm","Time_In_Transition_Zone",4,151.63
"13","365nm","Time_In_Transition_Zone",5,54.28
"13","365nm","Time_In_Transition_Zone",6,59.6
"13","365nm","Time_In_Transition_Zone",7,48.2
"13","365nm","Time_In_Transition_Zone",8,39.44
"13","365nm","Time_In_Transition_Zone",9,42.15
"13","365nm","Time_In_Transition_Zone",10,32.68
"14","365nm","Time_In_Transition_Zone",1,162.4
"14","365nm","Time_In_Transition_Zone",2,137.08
"14","365nm","Time_In_Transition_Zone",3,156.48
"14","365nm","Time_In_Transition_Zone",4,154.23
"14","365nm","Time_In_Transition_Zone",5,50.42
"14","365nm","Time_In_Transition_Zone",6,38.8
"14","365nm","Time_In_Transition_Zone",7,45.67
"14","365nm","Time_In_Transition_Zone",8,36.16
"14","365nm","Time_In_Transition_Zone",9,40.08
"14","365nm","Time_In_Transition_Zone",10,33.69
"15","365nm","Time_In_Transition_Zone",1,163.32
"15","365nm","Time_In_Transition_Zone",2,140.8
"15","365nm","Time_In_Transition_Zone",3,144.4
"15","365nm","Time_In_Transition_Zone",4,148.62
"15","365nm","Time_In_Transition_Zone",5,61.87
"15","365nm","Time_In_Transition_Zone",6,65.76
"15","365nm","Time_In_Transition_Zone",7,42.68
"15","365nm","Time_In_Transition_Zone",8,56.88
"15","365nm","Time_In_Transition_Zone",9,30.24
"15","365nm","Time_In_Transition_Zone",10,35.68
"1","365nm","Time_In_Center_Zone",1,108.52
"1","365nm","Time_In_Center_Zone",2,75.42
"1","365nm","Time_In_Center_Zone",3,73.81
"1","365nm","Time_In_Center_Zone",4,94.53
"1","365nm","Time_In_Center_Zone",5,47.75
"1","365nm","Time_In_Center_Zone",6,65.36
"1","365nm","Time_In_Center_Zone",7,25.84
"1","365nm","Time_In_Center_Zone",8,77.96
"1","365nm","Time_In_Center_Zone",9,16.31
"1","365nm","Time_In_Center_Zone",10,59.23
"2","365nm","Time_In_Center_Zone",1,99.88
"2","365nm","Time_In_Center_Zone",2,176.42
"2","365nm","Time_In_Center_Zone",3,64.96
"2","365nm","Time_In_Center_Zone",4,59.58
"2","365nm","Time_In_Center_Zone",5,11.33
"2","365nm","Time_In_Center_Zone",6,44.17
"2","365nm","Time_In_Center_Zone",7,6.81
"2","365nm","Time_In_Center_Zone",8,56.98
"2","365nm","Time_In_Center_Zone",9,9.53
"2","365nm","Time_In_Center_Zone",10,53.18
"3","365nm","Time_In_Center_Zone",1,66.94
"3","365nm","Time_In_Center_Zone",2,65.23
"3","365nm","Time_In_Center_Zone",3,85.88
"3","365nm","Time_In_Center_Zone",4,87.62
"3","365nm","Time_In_Center_Zone",5,17.74
"3","365nm","Time_In_Center_Zone",6,51.64
"3","365nm","Time_In_Center_Zone",7,43.08
"3","365nm","Time_In_Center_Zone",8,66.99
"3","365nm","Time_In_Center_Zone",9,60.75
"3","365nm","Time_In_Center_Zone",10,40.28
"4","365nm","Time_In_Center_Zone",1,76.96
"4","365nm","Time_In_Center_Zone",2,72.14
"4","365nm","Time_In_Center_Zone",3,111.85
"4","365nm","Time_In_Center_Zone",4,57.81
"4","365nm","Time_In_Center_Zone",5,6.04
"4","365nm","Time_In_Center_Zone",6,42.56
"4","365nm","Time_In_Center_Zone",7,2.65
"4","365nm","Time_In_Center_Zone",8,109.72
"4","365nm","Time_In_Center_Zone",9,14.43
"4","365nm","Time_In_Center_Zone",10,65.52
"5","365nm","Time_In_Center_Zone",1,69.48
"5","365nm","Time_In_Center_Zone",2,62.03
"5","365nm","Time_In_Center_Zone",3,115.5
"5","365nm","Time_In_Center_Zone",4,136.16
"5","365nm","Time_In_Center_Zone",5,9.61
"5","365nm","Time_In_Center_Zone",6,32.76
"5","365nm","Time_In_Center_Zone",7,56.65
"5","365nm","Time_In_Center_Zone",8,98.05
"5","365nm","Time_In_Center_Zone",9,84.53
"5","365nm","Time_In_Center_Zone",10,14.57
"6","365nm","Time_In_Center_Zone",1,104.32
"6","365nm","Time_In_Center_Zone",2,72.63
"6","365nm","Time_In_Center_Zone",3,116.69
"6","365nm","Time_In_Center_Zone",4,80.7
"6","365nm","Time_In_Center_Zone",5,8.69
"6","365nm","Time_In_Center_Zone",6,51
"6","365nm","Time_In_Center_Zone",7,37.12
"6","365nm","Time_In_Center_Zone",8,52.99
"6","365nm","Time_In_Center_Zone",9,57.89
"6","365nm","Time_In_Center_Zone",10,85.43
"7","365nm","Time_In_Center_Zone",1,117.82
"7","365nm","Time_In_Center_Zone",2,86.7
"7","365nm","Time_In_Center_Zone",3,114.25
"7","365nm","Time_In_Center_Zone",4,89.53
"7","365nm","Time_In_Center_Zone",5,11.37
"7","365nm","Time_In_Center_Zone",6,47.45
"7","365nm","Time_In_Center_Zone",7,49.33
"7","365nm","Time_In_Center_Zone",8,56.21
"7","365nm","Time_In_Center_Zone",9,65.54
"7","365nm","Time_In_Center_Zone",10,106.65
"8","365nm","Time_In_Center_Zone",1,103.15
"8","365nm","Time_In_Center_Zone",2,54.75
"8","365nm","Time_In_Center_Zone",3,61.5
"8","365nm","Time_In_Center_Zone",4,114.26
"8","365nm","Time_In_Center_Zone",5,8.21
"8","365nm","Time_In_Center_Zone",6,37.7
"8","365nm","Time_In_Center_Zone",7,41.43
"8","365nm","Time_In_Center_Zone",8,46.4
"8","365nm","Time_In_Center_Zone",9,50.24
"8","365nm","Time_In_Center_Zone",10,67.42
"9","365nm","Time_In_Center_Zone",1,45.2
"9","365nm","Time_In_Center_Zone",2,68.32
"9","365nm","Time_In_Center_Zone",3,67.58
"9","365nm","Time_In_Center_Zone",4,124.58
"9","365nm","Time_In_Center_Zone",5,25.74
