dumyID_EachDay_EachLight,trailID,lightWavelength,behaviorType,day,value
10,365nm_1_2,365nm,Time_In_Transition_Zone,1,100.66
10,365nm_2_2,365nm,Time_In_Transition_Zone,2,124.53
10,365nm_3_2,365nm,Time_In_Transition_Zone,3,152.21
10,365nm_4_2,365nm,Time_In_Transition_Zone,4,135.33
10,365nm_5_2,365nm,Time_In_Transition_Zone,5,96.23
10,365nm_6_2,365nm,Time_In_Transition_Zone,6,39.16
10,365nm_7_2,365nm,Time_In_Transition_Zone,7,43.25
10,365nm_8_2,365nm,Time_In_Transition_Zone,8,43.56
10,365nm_9_2,365nm,Time_In_Transition_Zone,9,40.23
10,365nm_10_2,365nm,Time_In_Transition_Zone,10,42.62
11,365nm_1_3,365nm,Time_In_Transition_Zone,1,107.65
11,365nm_2_3,365nm,Time_In_Transition_Zone,2,126.35
11,365nm_3_3,365nm,Time_In_Transition_Zone,3,124.35
11,365nm_4_3,365nm,Time_In_Transition_Zone,4,165.32
11,365nm_5_3,365nm,Time_In_Transition_Zone,5,95.21
11,365nm_6_3,365nm,Time_In_Transition_Zone,6,32.26
11,365nm_7_3,365nm,Time_In_Transition_Zone,7,36.15
11,365nm_8_3,365nm,Time_In_Transition_Zone,8,51.23
11,365nm_9_3,365nm,Time_In_Transition_Zone,9,42.39
11,365nm_10_3,365nm,Time_In_Transition_Zone,10,43.15
12,365nm_1_3,365nm,Time_In_Transition_Zone,1,128.96
12,365nm_2_3,365nm,Time_In_Transition_Zone,2,127.54
12,365nm_3_3,365nm,Time_In_Transition_Zone,3,121.53
12,365nm_4_3,365nm,Time_In_Transition_Zone,4,134.32
12,365nm_5_3,365nm,Time_In_Transition_Zone,5,103.26
12,365nm_6_3,365nm,Time_In_Transition_Zone,6,33.12
12,365nm_7_3,365nm,Time_In_Transition_Zone,7,34.12
12,365nm_8_3,365nm,Time_In_Transition_Zone,8,50.33
12,365nm_9_3,365nm,Time_In_Transition_Zone,9,45.32
12,365nm_10_3,365nm,Time_In_Transition_Zone,10,45.32
13,365nm_1_3,365nm,Time_In_Transition_Zone,1,121.46
13,365nm_2_3,365nm,Time_In_Transition_Zone,2,123.65
13,365nm_3_3,365nm,Time_In_Transition_Zone,3,102.32
13,365nm_4_3,365nm,Time_In_Transition_Zone,4,125.32
13,365nm_5_3,365nm,Time_In_Transition_Zone,5,90.32
13,365nm_6_3,365nm,Time_In_Transition_Zone,6,30.29
13,365nm_7_3,365nm,Time_In_Transition_Zone,7,32.66
13,365nm_8_3,365nm,Time_In_Transition_Zone,8,49.15
13,365nm_9_3,365nm,Time_In_Transition_Zone,9,46.22
13,365nm_10_3,365nm,Time_In_Transition_Zone,10,46.12
14,365nm_1_3,365nm,Time_In_Transition_Zone,1,145.32
14,365nm_2_3,365nm,Time_In_Transition_Zone,2,128.45
14,365nm_3_3,365nm,Time_In_Transition_Zone,3,134.25
14,365nm_4_3,365nm,Time_In_Transition_Zone,4,126.66
14,365nm_5_3,365nm,Time_In_Transition_Zone,5,103.25
14,365nm_6_3,365nm,Time_In_Transition_Zone,6,32.62
14,365nm_7_3,365nm,Time_In_Transition_Zone,7,41.32
14,365nm_8_3,365nm,Time_In_Transition_Zone,8,48.17
14,365nm_9_3,365nm,Time_In_Transition_Zone,9,47.12
14,365nm_10_3,365nm,Time_In_Transition_Zone,10,43.56
15,365nm_1_3,365nm,Time_In_Transition_Zone,1,125.63
15,365nm_2_3,365nm,Time_In_Transition_Zone,2,121.22
15,365nm_3_3,365nm,Time_In_Transition_Zone,3,133.23
15,365nm_4_3,365nm,Time_In_Transition_Zone,4,135.62
15,365nm_5_3,365nm,Time_In_Transition_Zone,5,96.32
15,365nm_6_3,365nm,Time_In_Transition_Zone,6,39.16
15,365nm_7_3,365nm,Time_In_Transition_Zone,7,45.12
15,365nm_8_3,365nm,Time_In_Transition_Zone,8,46.88
15,365nm_9_3,365nm,Time_In_Transition_Zone,9,48.32
15,365nm_10_3,365nm,Time_In_Transition_Zone,10,44.15
1,365nm_1_1,365nm,Time_In_Center_Zone,1,122.68
1,365nm_2_1,365nm,Time_In_Center_Zone,2,151.25
1,365nm_3_1,365nm,Time_In_Center_Zone,3,157.52
1,365nm_4_1,365nm,Time_In_Center_Zone,4,161.43
1,365nm_5_1,365nm,Time_In_Center_Zone,5,9.03
1,365nm_6_1,365nm,Time_In_Center_Zone,6,43.53
1,365nm_7_1,365nm,Time_In_Center_Zone,7,52.68
1,365nm_8_1,365nm,Time_In_Center_Zone,8,36.23
1,365nm_9_1,365nm,Time_In_Center_Zone,9,41.19
1,365nm_10_1,365nm,Time_In_Center_Zone,10,27.22
2,365nm_1_1,365nm,Time_In_Center_Zone,1,163.31
2,365nm_2_1,365nm,Time_In_Center_Zone,2,122.33
2,365nm_3_1,365nm,Time_In_Center_Zone,3,173.14
2,365nm_4_1,365nm,Time_In_Center_Zone,4,150.52
2,365nm_5_1,365nm,Time_In_Center_Zone,5,93.65
2,365nm_6_1,365nm,Time_In_Center_Zone,6,56.57
2,365nm_7_1,365nm,Time_In_Center_Zone,7,45.36
2,365nm_8_1,365nm,Time_In_Center_Zone,8,50.36
2,365nm_9_1,365nm,Time_In_Center_Zone,9,30.24
2,365nm_10_1,365nm,Time_In_Center_Zone,10,44.15
3,365nm_1_1,365nm,Time_In_Center_Zone,1,153
3,365nm_2_1,365nm,Time_In_Center_Zone,2,168.16
3,365nm_3_1,365nm,Time_In_Center_Zone,3,123.36
3,365nm_4_1,365nm,Time_In_Center_Zone,4,142.45
3,365nm_5_1,365nm,Time_In_Center_Zone,5,77.03
3,365nm_6_1,365nm,Time_In_Center_Zone,6,54.41
3,365nm_7_1,365nm,Time_In_Center_Zone,7,32.56
3,365nm_8_1,365nm,Time_In_Center_Zone,8,22.19
3,365nm_9_1,365nm,Time_In_Center_Zone,9,31.12
3,365nm_10_1,365nm,Time_In_Center_Zone,10,34.39
4,365nm_1_1,365nm,Time_In_Center_Zone,1,166.51
4,365nm_2_1,365nm,Time_In_Center_Zone,2,153.45
4,365nm_3_1,365nm,Time_In_Center_Zone,3,168.47
4,365nm_4_1,365nm,Time_In_Center_Zone,4,142.18
4,365nm_5_1,365nm,Time_In_Center_Zone,5,104.47
4,365nm_6_1,365nm,Time_In_Center_Zone,6,51.42
4,365nm_7_1,365nm,Time_In_Center_Zone,7,54.11
4,365nm_8_1,365nm,Time_In_Center_Zone,8,36.72
4,365nm_9_1,365nm,Time_In_Center_Zone,9,30.69
4,365nm_10_1,365nm,Time_In_Center_Zone,10,25.01
5,365nm_1_1,365nm,Time_In_Center_Zone,1,164.74
5,365nm_2_1,365nm,Time_In_Center_Zone,2,177.73
5,365nm_3_1,365nm,Time_In_Center_Zone,3,173.21
5,365nm_4_1,365nm,Time_In_Center_Zone,4,149.09
5,365nm_5_1,365nm,Time_In_Center_Zone,5,81.42
5,365nm_6_1,365nm,Time_In_Center_Zone,6,40.55
5,365nm_7_1,365nm,Time_In_Center_Zone,7,49.53
5,365nm_8_1,365nm,Time_In_Center_Zone,8,45.15
5,365nm_9_1,365nm,Time_In_Center_Zone,9,53.33
5,365nm_10_1,365nm,Time_In_Center_Zone,10,35.06
6,365nm_1_2,365nm,Time_In_Center_Zone,1,148.73
6,365nm_2_2,365nm,Time_In_Center_Zone,2,155.81
6,365nm_3_2,365nm,Time_In_Center_Zone,3,167.33
6,365nm_4_2,365nm,Time_In_Center_Zone,4,141.63
6,365nm_5_2,365nm,Time_In_Center_Zone,5,82.39
6,365nm_6_2,365nm,Time_In_Center_Zone,6,52.45
6,365nm_7_2,365nm,Time_In_Center_Zone,7,56.12
6,365nm_8_2,365nm,Time_In_Center_Zone,8,51.16
6,365nm_9_2,365nm,Time_In_Center_Zone,9,31.53
6,365nm_10_2,365nm,Time_In_Center_Zone,10,33.48
7,365nm_1_2,365nm,Time_In_Center_Zone,1,158.59
7,365nm_2_2,365nm,Time_In_Center_Zone,2,165.82
7,365nm_3_2,365nm,Time_In_Center_Zone,3,179.81
7,365nm_4_2,365nm,Time_In_Center_Zone,4,78.72
7,365nm_5_2,365nm,Time_In_Center_Zone,5,76.63
