study_number,Item_type,year_publication,author,title,database,journal_name,DOI,abstract,language,country,yi,vi,n_control,n_treatment,m_control,m_treatment,v_control,v_treatment,lux_control,lux_treatment,experiment_duration_hr,spectra_peak_treatment_nm,exposure_duration_night_hr,exposure_duration_total_hr,v_unit,m_unit,spectra_unit,v_type,eff_size_type,pop_lat,pop_long,species,life_stage_exposure,life_stage_experiment,behavioral_category,behavioral_category2,behavioral_category3,sex,fish_origin,where_experiment,temp_c,light_placement,time_of_assay,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176375,,en,china,-0.01571,3.43E-04,15,15,332.6853,327.4993,19.50672,13.56068,0.03,20,48,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176377,,en,china,0.023739,3.88E-04,15,15,337.9313,346.0493,18.17314,18.73459,0.03,20,72,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176378,,en,china,0.030987,2.92E-04,15,15,321.5153,331.634,17.54169,12.41148,0.03,20,96,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176379,,en,china,0.019974,4.55E-04,15,15,310.0833,316.3393,8.761074,24.54883,0.03,20,120,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176380,,en,china,0.124883,9.34E-04,15,15,310.378,351.6633,9.400143,40.24719,0.03,20,144,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176381,,en,china,0.067783,5.53E-04,15,15,318.8213,341.1813,12.21486,28.18008,0.03,20,168,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176382,,en,china,0.374898,4.57E-04,15,15,321.764,468.116,17.93735,28.67125,0.03,20,192,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176383,,en,china,0.409615,2.41E-04,15,15,336.3373,506.604,15.41533,19.70954,0.03,20,216,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176384,,en,china,0.423759,1.19E-04,15,15,329.5053,503.3833,10.19253,14.49869,0.03,20,240,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176385,,en,china,-0.14619,8.55E-04,15,15,4380.473,3784.695,351.2199,302.8575,0.03,20,24,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176386,,en,china,-0.13489,4.90E-04,15,15,4363.193,3812.624,234.4694,254.8705,0.03,20,48,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176387,,en,china,-0.0752,5.17E-04,15,15,4294.291,3983.204,306.2103,205.5617,0.03,20,72,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176388,,en,china,-0.04686,2.35E-04,15,15,4176.969,3985.732,161.6472,179.3458,0.03,20,96,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176389,,en,china,-0.07376,4.09E-04,15,15,4167.224,3870.925,127.6935,279.005,0.03,20,120,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176390,,en,china,-0.07297,2.61E-04,15,15,4161.342,3868.502,142.9955,202.4178,0.03,20,144,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176391,,en,china,-0.07541,5.63E-04,15,15,4167.759,3865.029,228.4446,285.2813,0.03,20,168,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176392,,en,china,0.229562,7.34E-04,15,15,4247.125,5343.089,377.662,297.5865,0.03,20,192,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176393,,en,china,0.279054,4.84E-04,15,15,4038.162,5337.959,305.1266,209.7912,0.03,20,216,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176394,,en,china,0.217301,1.08E-03,15,15,4178.118,5192.225,431.6579,385.3911,0.03,20,240,520,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176376,,en,china,0.039395,4.32E-04,15,15,321.31,334.2207,21.77561,14.49539,0.03,20,24,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176375,,en,china,0.023989,3.57E-04,15,15,332.6853,340.7627,19.50672,14.9177,0.03,20,48,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176377,,en,china,0.011143,3.27E-04,15,15,337.9313,341.718,18.17314,15.31178,0.03,20,72,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176378,,en,china,0.079473,5.70E-04,15,15,321.5153,348.11,17.54169,25.99591,0.03,20,96,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176379,,en,china,0.124445,5.19E-04,15,15,310.0833,351.1753,8.761074,29.35639,0.03,20,120,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176380,,en,china,0.061445,4.63E-04,15,15,310.378,330.0473,9.400143,25.62748,0.03,20,144,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176381,,en,china,0.0424,2.65E-04,15,15,318.8213,332.63,12.21486,16.64761,0.03,20,168,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176382,,en,china,0.467974,2.38E-04,15,15,321.764,513.7787,17.93735,11.05256,0.03,20,192,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176383,,en,china,0.435772,1.72E-04,15,15,336.3373,520.03,15.41533,11.33544,0.03,20,216,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176384,,en,china,0.453327,1.14E-04,15,15,329.5053,518.4893,10.19253,14.29345,0.03,20,240,590,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176385,,en,china,-0.10368,8.10E-04,15,15,4380.473,3949.047,351.2199,298.7464,0.03,20,24,590,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176386,,en,china,-0.08956,2.55E-04,15,15,4363.193,3989.413,234.4694,122.12,0.03,20,48,590,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176387,,en,china,-0.14222,1.77E-03,15,15,4294.291,3724.995,306.2103,546.2074,0.03,20,72,590,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176388,,en,china,-0.05468,3.20E-04,15,15,4176.969,3954.689,161.6472,227.2752,0.03,20,96,590,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176389,,en,china,-0.07503,4.71E-04,15,15,4167.224,3866.016,127.6935,302.6662,0.03,20,120,590,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176390,,en,china,-0.05518,5.23E-04,15,15,4161.342,3937.959,142.9955,321.4307,0.03,20,144,590,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176391,,en,china,-0.08647,4.55E-04,15,15,4167.759,3822.508,228.4446,236.3813,0.03,20,168,590,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176392,,en,china,-0.5571,8.60E-04,15,15,4247.125,2433.041,377.662,172.0159,0.03,20,192,590,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
