Subject_ID,Replicate,Treatment,Time,Distance_moved
A01.009,01,ALAN,56,14.3524
A01.009,01,ALAN,57,1.54054
A01.009,01,ALAN,58,140.541
A01.009,01,ALAN,59,11.9849
A01.009,01,ALAN,60,3.96636
A01.010,01,ALAN,1,29.16
A01.010,01,ALAN,2,0
A01.010,01,ALAN,3,0
A01.010,01,ALAN,4,0
A01.010,01,ALAN,5,0
A01.010,01,ALAN,6,0
A01.010,01,ALAN,7,1.53337
A01.010,01,ALAN,8,1.5946
A01.010,01,ALAN,9,0
A01.010,01,ALAN,10,0
A01.010,01,ALAN,11,0
A01.010,01,ALAN,12,0
A01.010,01,ALAN,13,0
A01.010,01,ALAN,14,0
A01.010,01,ALAN,15,0
A01.010,01,ALAN,16,2.09431
A01.010,01,ALAN,17,0
A01.010,01,ALAN,18,0
A01.010,01,ALAN,19,0
A01.010,01,ALAN,20,0
A01.010,01,ALAN,21,0
A01.010,01,ALAN,22,3.07782
A01.010,01,ALAN,23,0
A01.010,01,ALAN,24,0.407588
A01.010,01,ALAN,25,0
A01.010,01,ALAN,26,0
A01.010,01,ALAN,27,0
A01.010,01,ALAN,28,0
A01.010,01,ALAN,29,4.94953
A01.010,01,ALAN,30,3.61046
A01.010,01,ALAN,31,2.91673
A01.010,01,ALAN,32,0.940477
A01.010,01,ALAN,33,2.43126
A01.010,01,ALAN,34,0.699969
A01.010,01,ALAN,35,0
A01.010,01,ALAN,36,0
A01.010,01,ALAN,37,0
A01.010,01,ALAN,38,1.26381
A01.010,01,ALAN,39,0.451377
A01.010,01,ALAN,40,0.472967
A01.010,01,ALAN,41,0.529535
A01.010,01,ALAN,42,0.928746
A01.010,01,ALAN,43,1.75811
A01.010,01,ALAN,44,1.40316
A01.010,01,ALAN,45,4.12509
A01.010,01,ALAN,46,1.95225
A01.010,01,ALAN,47,1.71527
A01.010,01,ALAN,48,4.3908
A01.010,01,ALAN,49,5.55424
A01.010,01,ALAN,50,4.02372
A01.010,01,ALAN,51,3.66587
A01.010,01,ALAN,52,5.06154
A01.010,01,ALAN,53,4.58611
A01.010,01,ALAN,54,3.89033
A01.010,01,ALAN,55,3.40764
A01.010,01,ALAN,56,0.480913
A01.010,01,ALAN,57,4.86348
A01.010,01,ALAN,58,8.57726
A01.010,01,ALAN,59,1.27316
A01.010,01,ALAN,60,0.952497
A01.011,01,ALAN,1,1.32089
A01.011,01,ALAN,2,0
A01.011,01,ALAN,3,0.42379
A01.011,01,ALAN,4,0
A01.011,01,ALAN,5,2.13365
A01.011,01,ALAN,6,3.61327
A01.011,01,ALAN,7,4.45765
A01.011,01,ALAN,8,4.59449
A01.011,01,ALAN,9,0.440269
A01.011,01,ALAN,10,1.75319
A01.011,01,ALAN,11,1.08936
A01.011,01,ALAN,12,0
A01.011,01,ALAN,13,0
A01.011,01,ALAN,14,0
A01.011,01,ALAN,15,0
A01.011,01,ALAN,16,0
A01.011,01,ALAN,17,0
A01.011,01,ALAN,18,1.0911
A01.011,01,ALAN,19,0
A01.011,01,ALAN,20,0
A01.011,01,ALAN,21,2.85438
A01.011,01,ALAN,22,3.5753
A01.011,01,ALAN,23,1.55583
A01.011,01,ALAN,24,5.60683
A01.011,01,ALAN,25,0.87064
A01.011,01,ALAN,26,0
A01.011,01,ALAN,27,0.418969
A01.011,01,ALAN,28,0.858381
A01.011,01,ALAN,29,1.25906
A01.011,01,ALAN,30,2.06476
A01.011,01,ALAN,31,0.939571
A01.011,01,ALAN,32,0
A01.011,01,ALAN,33,1.51971
A01.011,01,ALAN,34,1.83729
A01.011,01,ALAN,35,0.457249
A01.011,01,ALAN,36,0.487279
A01.011,01,ALAN,37,1.97948
A01.011,01,ALAN,38,0.419433
A01.011,01,ALAN,39,2.79573
A01.011,01,ALAN,40,1.39086
A01.011,01,ALAN,41,1.04833
A01.011,01,ALAN,42,0
A01.011,01,ALAN,43,0.489676
A01.011,01,ALAN,44,1.39997
A01.011,01,ALAN,45,1.89331
A01.011,01,ALAN,46,0.407138
A01.011,01,ALAN,47,1.76924
A01.011,01,ALAN,48,0
A01.011,01,ALAN,49,0.420411
A01.011,01,ALAN,50,0
A01.011,01,ALAN,51,3.10477
A01.011,01,ALAN,52,1.2783
A01.011,01,ALAN,53,7.04634
A01.011,01,ALAN,54,6.64643
A01.011,01,ALAN,55,4.78934
A01.011,01,ALAN,56,1.64717
A01.011,01,ALAN,57,16.8926
A01.011,01,ALAN,58,9.41525
A01.011,01,ALAN,59,7.43966
A01.011,01,ALAN,60,17.1687
A01.012,01,ALAN,1,3.25761
A01.012,01,ALAN,2,0
A01.012,01,ALAN,3,0
A01.012,01,ALAN,4,0
A01.012,01,ALAN,5,0.422356
A01.012,01,ALAN,6,0
A01.012,01,ALAN,7,0
A01.012,01,ALAN,8,0
A01.012,01,ALAN,9,0
A01.012,01,ALAN,10,0
A01.012,01,ALAN,11,0
A01.012,01,ALAN,12,0
A01.012,01,ALAN,13,0
A01.012,01,ALAN,14,0
A01.012,01,ALAN,15,0
A01.012,01,ALAN,16,0
A01.012,01,ALAN,17,0
A01.012,01,ALAN,18,0
A01.012,01,ALAN,19,0
A01.012,01,ALAN,20,0
A01.012,01,ALAN,21,0
A01.012,01,ALAN,22,0
A01.012,01,ALAN,23,0
A01.012,01,ALAN,24,0
A01.012,01,ALAN,25,0
A01.012,01,ALAN,26,0
A01.012,01,ALAN,27,0
A01.012,01,ALAN,28,0
A01.012,01,ALAN,29,0
A01.012,01,ALAN,30,0
A01.012,01,ALAN,31,0
A01.012,01,ALAN,32,0
A01.012,01,ALAN,33,0
A01.012,01,ALAN,34,0
A01.012,01,ALAN,35,0
A01.012,01,ALAN,36,0
A01.012,01,ALAN,37,0
A01.012,01,ALAN,38,0
A01.012,01,ALAN,39,0
A01.012,01,ALAN,40,2.37967
A01.012,01,ALAN,41,1.1483
A01.012,01,ALAN,42,5.71408
A01.012,01,ALAN,43,0.893973
A01.012,01,ALAN,44,7.33747
A01.012,01,ALAN,45,3.44291
A01.012,01,ALAN,46,4.17373
A01.012,01,ALAN,47,3.51262
A01.012,01,ALAN,48,1.87487
A01.012,01,ALAN,49,0
A01.012,01,ALAN,50,0
A01.012,01,ALAN,51,0
A01.012,01,ALAN,52,0
A01.012,01,ALAN,53,0
A01.012,01,ALAN,54,0
A01.012,01,ALAN,55,1.31798
A01.012,01,ALAN,56,0
A01.012,01,ALAN,57,0.459563
A01.012,01,ALAN,58,0.436306
A01.012,01,ALAN,59,0.470645
A01.012,01,ALAN,60,0
C02.014,02,Control,1,25.8832
C02.014,02,Control,2,0
C02.014,02,Control,3,0
C02.014,02,Control,4,0
C02.014,02,Control,5,0
C02.014,02,Control,6,0.446953
C02.014,02,Control,7,0
C02.014,02,Control,8,2.24859
C02.014,02,Control,9,0
C02.014,02,Control,10,0
C02.014,02,Control,11,0.51424
C02.014,02,Control,12,0
C02.014,02,Control,13,0
C02.014,02,Control,14,0
C02.014,02,Control,15,0
C02.014,02,Control,16,0
C02.014,02,Control,17,0
C02.014,02,Control,18,0
C02.014,02,Control,19,0
C02.014,02,Control,20,0
C02.014,02,Control,21,0
C02.014,02,Control,22,0
C02.014,02,Control,23,0
C02.014,02,Control,24,0
C02.014,02,Control,25,0
C02.014,02,Control,26,0
C02.014,02,Control,27,0
C02.014,02,Control,28,0
C02.014,02,Control,29,0
C02.014,02,Control,30,0
C02.014,02,Control,31,2.41532
C02.014,02,Control,32,0
C02.014,02,Control,33,0
C02.014,02,Control,34,0
C02.014,02,Control,35,0
C02.014,02,Control,36,0
C02.014,02,Control,37,0
C02.014,02,Control,38,0
C02.014,02,Control,39,0
C02.014,02,Control,40,0
C02.014,02,Control,41,0
C02.014,02,Control,42,0
C02.014,02,Control,43,0
C02.014,02,Control,44,0
C02.014,02,Control,45,0
C02.014,02,Control,46,0
C02.014,02,Control,47,0
C02.014,02,Control,48,0
C02.014,02,Control,49,0
C02.014,02,Control,50,0
C02.014,02,Control,51,0
C02.014,02,Control,52,0
C02.014,02,Control,53,0
C02.014,02,Control,54,0
C02.014,02,Control,55,0
C02.014,02,Control,56,0
C02.014,02,Control,57,0
C02.014,02,Control,58,1.20414
C02.014,02,Control,59,0
C02.014,02,Control,60,3.32704
C02.015,02,Control,1,57.4192
C02.015,02,Control,2,0
C02.015,02,Control,3,0
C02.015,02,Control,4,0
C02.015,02,Control,5,0
C02.015,02,Control,6,0
C02.015,02,Control,7,0
C02.015,02,Control,8,0
C02.015,02,Control,9,0
C02.015,02,Control,10,0
C02.015,02,Control,11,0
C02.015,02,Control,12,0
C02.015,02,Control,13,0
C02.015,02,Control,14,0
C02.015,02,Control,15,0
C02.015,02,Control,16,0
C02.015,02,Control,17,0
C02.015,02,Control,18,0
C02.015,02,Control,19,0
C02.015,02,Control,20,0
C02.015,02,Control,21,0
C02.015,02,Control,22,0.434394
C02.015,02,Control,23,0
C02.015,02,Control,24,0.424676
C02.015,02,Control,25,0
C02.015,02,Control,26,0
C02.015,02,Control,27,1.34936
C02.015,02,Control,28,2.22267
C02.015,02,Control,29,1.76189
C02.015,02,Control,30,1.38023
C02.015,02,Control,31,0.968734
C02.015,02,Control,32,0
C02.015,02,Control,33,10.0748
C02.015,02,Control,34,0.427815
C02.015,02,Control,35,0
C02.015,02,Control,36,0
C02.015,02,Control,37,0
C02.015,02,Control,38,0
C02.015,02,Control,39,0
C02.015,02,Control,40,2.7468
C02.015,02,Control,41,0
C02.015,02,Control,42,0
C02.015,02,Control,43,6.2703
C02.015,02,Control,44,0.205723
C02.015,02,Control,45,197.126
C02.015,02,Control,46,280.43
C02.015,02,Control,47,230.124
C02.015,02,Control,48,221.731
C02.015,02,Control,49,10.8455
C02.015,02,Control,50,2.34786
C02.015,02,Control,51,13.5249
C02.015,02,Control,52,1.25045
C02.015,02,Control,53,0.625717
C02.015,02,Control,54,2.15314
C02.015,02,Control,55,0
C02.015,02,Control,56,0
C02.015,02,Control,57,0
C02.015,02,Control,58,0
C02.015,02,Control,59,0
C02.015,02,Control,60,0
C02.016,02,Control,1,0
C02.016,02,Control,2,0
C02.016,02,Control,3,0
C02.016,02,Control,4,1.58771
C02.016,02,Control,5,3.25889
C02.016,02,Control,6,0.444127
C02.016,02,Control,7,0.94433
C02.016,02,Control,8,1.39284
C02.016,02,Control,9,0
C02.016,02,Control,10,0
