Subject_ID,Replicate,Treatment,Stimulation,Index
C04.032,04,Control,18,-1
C04.032,04,Control,19,-1
C04.032,04,Control,20,-1
C04.032,04,Control,21,-1
C04.032,04,Control,22,-1
C04.032,04,Control,23,-1
C04.032,04,Control,24,-1
C04.032,04,Control,25,-1
C05.034,05,Control,1,-0.015941672
C05.034,05,Control,2,-0.362206732
C05.034,05,Control,3,-0.830301815
C05.034,05,Control,4,-1
C05.034,05,Control,5,-0.480095789
C05.034,05,Control,6,-0.824171157
C05.034,05,Control,7,-0.805899683
C05.034,05,Control,8,-1
C05.034,05,Control,9,-1
C05.034,05,Control,10,-0.497909235
C05.034,05,Control,11,-0.813062322
C05.034,05,Control,12,-0.39237737
C05.034,05,Control,13,-1
C05.034,05,Control,14,-1
C05.034,05,Control,15,-1
C05.034,05,Control,16,-1
C05.034,05,Control,17,-1
C05.034,05,Control,18,-1
C05.034,05,Control,19,-1
C05.034,05,Control,20,-1
C05.034,05,Control,21,-1
C05.034,05,Control,22,-1
C05.034,05,Control,23,-1
C05.034,05,Control,24,-1
C05.034,05,Control,25,-1
C05.036,05,Control,1,-1
C05.036,05,Control,2,-1
C05.036,05,Control,3,-0.926715758
C05.036,05,Control,4,-1
C05.036,05,Control,5,-1
C05.036,05,Control,6,-1
C05.036,05,Control,7,-1
C05.036,05,Control,8,-1
C05.036,05,Control,9,-1
C05.036,05,Control,10,-1
C05.036,05,Control,11,-1
C05.036,05,Control,12,-1
C05.036,05,Control,13,-1
C05.036,05,Control,14,-1
C05.036,05,Control,15,-1
C05.036,05,Control,16,-1
C05.036,05,Control,17,-1
C05.036,05,Control,18,-1
C05.036,05,Control,19,-1
C05.036,05,Control,20,-1
C05.036,05,Control,21,-1
C05.036,05,Control,22,-1
C05.036,05,Control,23,-1
C05.036,05,Control,24,-1
C05.036,05,Control,25,-1
A05.037,05,ALAN,1,-0.462123724
A05.037,05,ALAN,2,-0.415853956
A05.037,05,ALAN,3,-0.859789279
A05.037,05,ALAN,4,-0.834876389
A05.037,05,ALAN,5,-0.805911258
A05.037,05,ALAN,6,-0.88628156
A05.037,05,ALAN,7,-1
A05.037,05,ALAN,8,-1
A05.037,05,ALAN,9,-1
A05.037,05,ALAN,10,-1
A05.037,05,ALAN,11,-0.964970036
A05.037,05,ALAN,12,-0.964061718
A05.037,05,ALAN,13,-0.83654977
A05.037,05,ALAN,14,-0.966730213
A05.037,05,ALAN,15,-1
A05.037,05,ALAN,16,-1
A05.037,05,ALAN,17,-1
A05.037,05,ALAN,18,-1
A05.037,05,ALAN,19,-1
A05.037,05,ALAN,20,-1
A05.037,05,ALAN,21,-1
A05.037,05,ALAN,22,-1
A05.037,05,ALAN,23,-1
A05.037,05,ALAN,24,-1
A05.037,05,ALAN,25,-1
A05.038,05,ALAN,1,-0.855675654
A05.038,05,ALAN,2,-1
A05.038,05,ALAN,3,3.087559643
A05.038,05,ALAN,4,-1
A05.038,05,ALAN,5,-0.691448913
A05.038,05,ALAN,6,-1
A05.038,05,ALAN,7,-0.846966655
A05.038,05,ALAN,8,-1
A05.038,05,ALAN,9,-1
A05.038,05,ALAN,10,-1
A05.038,05,ALAN,11,-0.861775696
A05.038,05,ALAN,12,-1
A05.038,05,ALAN,13,-1
A05.038,05,ALAN,14,-1
A05.038,05,ALAN,15,-1
A05.038,05,ALAN,16,-1
A05.038,05,ALAN,17,-1
A05.038,05,ALAN,18,-1
A05.038,05,ALAN,19,-1
A05.038,05,ALAN,20,-1
A05.038,05,ALAN,21,-1
A05.038,05,ALAN,22,-1
A05.038,05,ALAN,23,-1
A05.038,05,ALAN,24,-1
A05.038,05,ALAN,25,-1
A05.040,05,ALAN,1,-0.475854627
A05.040,05,ALAN,2,-0.691316827
A05.040,05,ALAN,3,-0.645852205
A05.040,05,ALAN,4,-0.812571479
A05.040,05,ALAN,5,-0.828482922
A05.040,05,ALAN,6,-0.546949622
A05.040,05,ALAN,7,-0.869970124
A05.040,05,ALAN,8,8.07464E-05
A05.040,05,ALAN,9,-0.709221972
A05.040,05,ALAN,10,-0.70549002
A05.040,05,ALAN,11,-0.732127521
A05.040,05,ALAN,12,-0.652181254
A05.040,05,ALAN,13,-0.87010108
A05.040,05,ALAN,14,-0.872595556
A05.040,05,ALAN,15,-0.878790419
A05.040,05,ALAN,16,-1
A05.040,05,ALAN,17,-1
A05.040,05,ALAN,18,-0.933333578
A05.040,05,ALAN,19,-1
A05.040,05,ALAN,20,-1
A05.040,05,ALAN,21,-0.936489881
A05.040,05,ALAN,22,-1
A05.040,05,ALAN,23,-1
A05.040,05,ALAN,24,-0.933796769
A05.040,05,ALAN,25,-1
A06.041,06,ALAN,1,-1
A06.041,06,ALAN,2,-0.875510038
A06.041,06,ALAN,3,-0.947169049
A06.041,06,ALAN,4,-1
A06.041,06,ALAN,5,-1
A06.041,06,ALAN,6,-1
A06.041,06,ALAN,7,-0.365519666
A06.041,06,ALAN,8,-1
A06.041,06,ALAN,9,-1
A06.041,06,ALAN,10,-1
